name,age,height
Stephen Warboys,15.64134155,nan
Richard Bray,nan,nan
Franco Belli,nan,nan
Francois Battegay,nan,nan
Peter Doerner,18.73237509,nan
Jose Maria Gisbert,24.28199863,nan
Antonio Mennella,nan,nan
Jon Erik Ross,25.67008898,nan
Finn Dag Jagge,33.01300479,nan
Luis Augusto Garcia,nan,nan
Jan Hordijk,nan,nan
Francois Godbout,31.08008214,nan
David Tate,nan,nan
Vicente Zarazua,24.68172485,nan
Khoder Issa,nan,nan
Aly El Dawoudi,nan,nan
Ahmed Ramadan,nan,nan
Moataz El Sonbol,32.25735797,nan
Jihad Khouayess,nan,nan
George Berner,nan,nan
Heikki Hedman,29.03764545,nan
Peter Jackson,34.66392882,nan
Epaminondas Argyriou,25.35249829,nan
Mieczyslaw Rybarczyk,27.68514716,nan
Atet Wijono,nan,nan
Raymundo Deyro,41.03764545,nan
Shiv Prakash Misra,27.20602327,nan
Gaurav Misra,nan,nan
Abdul Rahman Bakar,nan,nan
Suresh Melvani,20.12320329,nan
Jean Neuman,30.25598905,nan
Olivio Silva,25.207392199999997,nan
Hoang Duc Luu,nan,nan
Van Thanh Vo,nan,nan
Doo Hwan Kim,27.14031485,nan
Rene Ruzic,50.23956194,nan
Allen Shapter,28.205338809,nan
Colin Dibley,25.3333333333,188.0
Ned Neely,30.0150581793,nan
Ian Bidmeade,nan,nan
Brian Gottfried,18.5954825462,183.0
Steve Turner,23.874058863800002,nan
Frank Froehling,28.287474332600002,190.0
Keith Diepraam,27.635865845300003,nan
Paul Kronk,15.6057494867,nan
Anatoli Volkov,nan,nan
Greg Perkins,nan,nan
Karl Meiler,21.0020533881,178.0
Andrew Pattison,21.2484599589,188.0
Jean Lovera,nan,nan
Bill Freer,19.1457905544,nan
Robert Rheinberger,24.449007529099998,nan
Jean Francois Caujolle,18.083504449,nan
Robert Machan,nan,nan
Jimmy Connors,17.9986310746,178.0
Ma Ilahi,nan,nan
Steve Krulevitz,19.2607802875,175.0
King Van Nostrand,nan,nan
Sandy Mayer,18.409308692699998,178.0
Pancho Walthall,20.5420944559,nan
Ramiro Benavides,22.4887063655,nan
Hansjorg Elzer,nan,nan
Tom Brown,47.5455167693,185.0
Jiri Hrebec,19.909650924,nan
Frank Falderbaum,nan,nan
Hans Engert,19.3210130048,nan
Vijay Amritraj,16.6735112936,193.0
Sashi Menon,18.0205338809,180.0
Roger Dowdeswell,26.3463381246,nan
Jackie Saul,nan,nan
Bud Guion,nan,nan
John Fort,21.054072553,nan
Steve Fiske,22.1519507187,nan
Jose Cordon,nan,nan
Michael Burgener,21.1279945243,nan
Alan Kendal,nan,nan
D Verdieck,nan,nan
Rolf Thung,19.0171115674,190.0
Kim Warwick,18.3162217659,183.0
Piet Van Eysden,nan,nan
Frank Schmitz,nan,nan
Boris Breskvar,nan,nan
Eddie Knol,nan,nan
Christopher Wolff,nan,nan
Paul Van Min,nan,nan
Evert Schneider,nan,nan
Peter Soeters,nan,nan
Piet Veentjer,nan,nan
Buster C Mottram,15.1403148528,nan
U Friscic,nan,nan
U Zollner,nan,nan
Andrew Rae,nan,nan
Patrick Platzer,nan,nan
Ruby Hoskowetz,23.8247775496,nan
U Markoff,nan,nan
U Futternecht,nan,nan
U Kolbinger,nan,nan
U Ostroff,nan,nan
U Hamza,nan,nan
Petar Popovic,nan,nan
U Bahr,nan,nan
U Kreuzhuber,nan,nan
U Lockington,nan,nan
Christoph Meyer,nan,nan
U Kolik,nan,nan
R Garmany,nan,nan
Larry Miller,nan,nan
Dick Horowitz,nan,nan
Pekka Saila,nan,nan
Bo Holmstrom,nan,nan
Guillermo Oropez,23.638603696100002,nan
Whitney Reed,38.1026694045,nan
Dave George,23.786447638600002,nan
John Levin,nan,nan
Don Kierbow,nan,nan
Butch Kirkorian,nan,nan
Paul Sidone,nan,nan
Dean Penero,24.5448323066,nan
Bobby Siska,27.8247775496,nan
Charles Hoeveler,nan,nan
Rich Anderson,nan,nan
Jack Acheson,nan,nan
Greg Shephard,nan,nan
John Zweig,nan,nan
Rick Fisher,19.5017111567,nan
John Tidball,23.7700205339,nan
Juan Couder,nan,nan
Alberto Martorell,nan,nan
Pedro Loewe,nan,nan
Bernard Mignot,21.8316221766,nan
Jose Castanon,nan,nan
Gary Rose,24.9609856263,nan
Raul Ramirez,17.2484599589,183.0
Robert Puddicombe,24.0219028063,178.0
Robert Bedard,nan,nan
Hugo Varela,nan,nan
Rodolfo Cisneros,nan,nan
Roberto Aubone,nan,nan
Ricardo Cano,19.6988364134,170.0
Nicolas Romero,nan,nan
Mike Lynch,nan,nan
O Escribano,nan,nan
Isao Kobayashi,28.402464065700002,nan
Ricardo Bernd,21.1909650924,nan
Beyazit Anbar,nan,nan
Leo Rolle,nan,nan
Alvaro Betancur,20.2491444216,nan
Gustavo Stapf,18.507871321,nan
Alberto Laborde,17.5140314853,nan
Carl Edvard Hedelund,29.149897330599998,nan
Abdel Ghani Mohammed,27.542778918499998,nan
Pieter Soeters,22.9514031485,nan
Viorel Marcu,nan,nan
Sever Muresan,21.5770020534,nan
Fong Ling,29.6098562628,nan
Kenneth Tsui,20.9089664613,nan
Van Thanh Nguyen,nan,nan
Van Bay Vo,nan,nan
Munawar Iqbal,nan,nan
Georges Logelin,28.6078028747,nan
Song Kean Tan,nan,nan
Tim Sturdza,nan,nan
Eric Deblicker,19.03627652,nan
Mervyn Rose,41.11704312,nan
John Feaver,19.05270363,190.0
Osamu Ishiguro,nan,nan
Grover Raz Reid,19.90691307,nan
Dan Birchmore,nan,nan
Harold Solomon,18.84736482,168.0
Eddie Dibbs,20.41341547,170.0
Jim Ward,21.94934976,nan
Jeff Austin,20.15879535,nan
Takeshi Koura,nan,nan
Steve Wedderburn,nan,nan
John Burrman,nan,nan
Bob Brien,nan,nan
Eric Baer,nan,nan
Vitas Gerulaitis,17.10061602,183.0
Kenichi Hirai,21.45379877,nan
Norman Holmes,21.90554415,nan
John Austin,nan,193.0
Antonio Zugarelli,21.28952772,nan
Corrado Barazzutti,18.19849418,178.0
Geoff Macdonald,nan,nan
Richard Meyer,15.57289528,183.0
Manuel Gallardo,nan,nan
Amable Plaza,nan,nan
Gerry Gomes,nan,nan
R Blanco,nan,nan
Dick Johnson,nan,nan
Jan Erik Lindquist,nan,nan
Peter Lamp,nan,nan
Rainer Kuhlmey,nan,nan
Hendrick Sepp,nan,nan
John Andrews,19.54277892,nan
Gary Groslimond,19.63312799,nan
John Adams,nan,nan
Andres Tielemans,nan,nan
William Durham,nan,nan
Pierre Lamarche,24.61875428,nan
Jim Boyce,nan,nan
Roberto Graetz,nan,nan
Tito Vasquez,nan,nan
Giacomo Romani,nan,nan
Ricardo Aubone,nan,nan
John Ross,nan,185.0
D Turner,nan,nan
Ian Beverly,nan,nan
Paul Thompson,nan,nan
Kevin Long,nan,nan
Ray Keenan,nan,nan
Ross Mcghie,nan,nan
David Mitchell,nan,nan
Phil Gunning,nan,nan
Jeff Simpson,20.35318275,nan
Dave Simmonds,nan,nan
James Ferguson,nan,nan
Tony Parun P071,nan,nan
Peter Fletcher,nan,nan
Allan Burns,nan,nan
Robin Ray,nan,nan
Bobby Heald,nan,nan
Bob Joyner,nan,nan
Allen Morris,nan,nan
Keith Stoneman,nan,nan
